Line,Content
6,2003990+
30,2003822+2668
32,2003821+4002
34,2003820+4002
36,2003819+3335
51,2003787-5+
152,2003676+1350
401,2003446+10800
481,2003220+
617,2002265+1440
618,2002264+2880
666,2002179+1334
667,2002178+4669
668,2002177+4002
669,2002176+4002
670,2002175+1334
1195,2000859+5336
1276,2000480+4104
1379,1002772+4002
1380,1002771+2668
1381,1002770+2001
1382,1002769+2001
1383,1002768+4002
1384,1002767+2668
1385,1002765+4002
1386,1002764+3335
1387,1002763+2668
1388,1002762+2668
1444,+7456537
