Line,Content
402,2003443+1100
403,2003441-1+4950
404,2003440+2750
405,2003433+12000
406,2003433+5400
407,2003432+1440
408,2003430+22050
409,2003428+3600
410,2003427+1440
411,2003423+
412,2003423+3444
414,2003423+2922
415,2003423+450
416,2003423+5400
417,2003413+
418,2003413+2835
419,2003412+
420,2003406+4602
421,2003396+
422,2003396+944
423,2003396+900
424,2003395+
425,2003395+702
426,2003395+3150
427,2003394-1+3840
428,2003391+4002
429,2003390+2001
430,2003389+4002
431,2003388+1334
432,2003387+667
433,2003386+5336
434,2003360+13128
435,2003358+76516
436,2003356+
437,2003356+2175
438,2003356+2250
439,2003355-2+
440,2003355-2+1740
441,2003355-2+1800
442,2003354+648
443,2003354+2250
444,2003345+1650
445,2003345+1800
447,2003331+1334
448,2003329+19600
449,2003325-1+6480
450,2003325-1+
451,2003325-1+435
452,2003325-1+480
454,2003325-1+2340
455,2003325-1+29250
456,2003321+4002
457,2003320+4002
458,2003319+4669
459,2003318+4002
460,2003317+1334
461,2003316+6670
462,2003315+1650
463,2003314+720
464,2003303+1350
465,2003274+468
466,2003274+1100
467,2003263+5000
468,2003262+37500
469,2003261+2001
470,2003255+2090
471,2003239+4002
472,2003238+4002
473,2003237+4002
474,2003236+1334
475,2003235+5336
476,2003231+6600
477,2003227+2160
478,2003226+2160
479,2003224+10800
480,2003223+3600
482,2003219+5850
483,2003215+3335
484,2003214+1334
485,2003194+900
486,2003190-2+2175
487,2003190-2+2250
488,2003174-1+6050
489,2003171+2160
490,2003168-1+2090
491,2003168-1+605
492,2003167+3735
493,2003167+547
494,2003165-2+8360
495,2003165-2+605
496,2003165-2+4050
497,2003165-2+5400
498,2003162+870
499,2003162+900
500,2003160-1+10800
501,2003158+
502,2003158+1305
503,2003158+1350
504,2003157-1+
505,2003157-1+1305
506,2003157-1+1350
507,2003156-1+240
508,2003156-1+
509,2003156-1+1305
511,2003156-1+234
512,2003156-1+1800
513,2003150+6300
514,2003145+2560
515,2003138+4050
516,2003135+668
517,2003135+3840
518,2003135+814
519,2003134+1800
520,2003130+8640
521,2003129+2560
522,2003129+
523,2003129+2442
524,2003124+1045
525,2003123-2+2090
526,2003122+4669
527,2003121+4669
528,2003120+4002
529,2003119+3335
530,2003116+668
531,2003116+2560
532,2003115-1+2200
533,2003113+4002
534,2003112+4002
535,2003111+3335
536,2003110+5336
537,2003109+4669
538,2003108+3335
539,2003107+5336
540,2003106+3335
541,2003105+3335
542,2003104+3335
543,2003103+667
544,2003076+900
545,2003065+8100
546,2003060-2+10800
547,2003051+2610
548,2003051+2700
549,2003044+6480
550,2003041+1100
551,2003036-1+1650
552,2003015+5120
553,2002998-1+1834
554,2002974+2750
555,2002545+
556,2002494-1+
557,2002478+720
558,2002478+12960
559,2002475+
560,2002475+2751
561,2002475+10800
562,2002468+4400
563,2002466+1960
564,2002463+4669
565,2002461+1100
566,2002445+3369
567,2002445+1628
568,2002431-1+450
569,2002423+1296
570,2002421-1+23976
571,2002421-1+1740
572,2002421-1+17100
573,2002420+600
574,2002420+1401
575,2002419+5000
576,2002419+11675
577,2002416+400
578,2002416+934
579,2002414+667
580,2002411+8800
581,2002404+7680
582,2002401+11000
583,2002399+6750
584,2002398+3850
585,2002395+2700
586,2002390+1334
587,2002376+4734
588,2002376+972
589,2002375+2700
590,2002370+450
591,2002369+2610
592,2002369+3300
593,2002349+4950
594,2002348+30000
595,2002343+6600
596,2002343+7200
598,2002333-1+17784
599,2002321-1+7700
600,2002314+2560
601,2002313+12500
602,2002305+2880
603,2002293+2700
604,2002292+1045
605,2002289+3135
606,2002282+5400
607,2002278+1334
608,2002277+3335
609,2002276+4002
610,2002275+6003
611,2002274+4669
612,2002273+3335
613,2002272+7200
614,2002271-4+183500
615,2002270+4840
616,2002269+15000
619,2002261+2200
620,2002256+850
621,2002256+900
622,2002251+266
623,2002246+3335
624,2002245+3335
625,2002244+1334
626,2002243+3335
627,2002242+4002
628,2002241+5336
629,2002240+4002
630,2002234+9480
631,2002234+2220
632,2002234+4128
633,2002234+6750
634,2002233+1944
635,2002233+6750
636,2002230+7200
637,2002227+12000
638,2002227+5760
639,2002226+7680
640,2002226+1628
641,2002225-1+435
642,2002225-1+2250
643,2002221+667
644,2002219+1100
645,2002218+2750
646,2002217+1350
647,2002217+450
648,2002216+5760
649,2002215+6003
650,2002214+1334
651,2002213+1120
652,2002210+5336
653,2002209+2001
654,2002208+3335
655,2002207+4669
656,2002206+3335
657,2002205+2668
658,2002204+5336
659,2002203+5336
660,2002202+2001
661,2002201+4669
662,2002196+1800
663,2002189+4785
664,2002189+6050
665,2002185+
671,2002174-1+1800
672,2002174-1+2400
673,2002167-1+450
674,2002166+1440
675,2002164+2160
676,2002161+
677,2002158-1+
680,2002157+4002
681,2002156+1334
682,2002155+4669
683,2002154+5336
684,2002153+3335
685,2002152+3335
686,2002151+2001
687,2002150+4002
688,2002145+2700
689,2002144+6750
690,2002129+1334
691,2002126-1+4820
692,2002124+16560
693,2002117+667
694,2002116+1334
695,2002115+4002
696,2002114+667
697,2002111+
698,2002109+3335
699,2002108+3335
700,2002107+6003
701,2002106+667
702,2002102+
703,2002097+
704,2002092+648
705,2002092+435
706,2002092+
707,2002091-2+5925
708,2002091-2+8140
709,2002091-2+996
710,2002091-2+7200
711,2002089+2700
712,2002086+1350
713,2002080+
715,2002072+1100
716,2002072+1200
718,2002071+2700
719,2002070+4050
720,2002069+1334
721,2002068+2668
722,2002067+6003
723,2002066+16008
724,2002065+667
725,2002064+
726,2002062+
727,2002058+3335
728,2002057+5336
729,2002056+4669
730,2002055+4002
731,2002054+4002
732,2002053+2001
733,2002052+4669
734,2002051+3335
735,2002050+5336
736,2002049+1334
737,2002048+2001
738,2002047+4921
739,2002047+8968
740,2002047+
741,2002044-1+528
742,2002044-1+3135
743,2002034+
744,2002030+1334
745,2002029+8671
746,2002028+4002
747,2002027+2668
748,2002026+4002
749,2002025+6003
750,2002024+2668
751,2002023+2001
752,2002022+3335
753,2002021+5336
754,2002020+4669
755,2002017+1305
756,2002017+
757,2002014+1701
758,2002014+
759,2002013+3402
760,2002013+4764
761,2002013+38250
762,2002012+1588
763,2002012+
764,2002008+667
765,2002007+6050
766,2002007+4050
767,2002004+4400
768,2002003+667
769,2002002+2668
770,2002001+2001
771,2002000+5336
772,2001999+4002
773,2001998+4002
774,2001997+2001
775,2001996+5336
776,2001995+5336
777,2001994+1334
778,2001993+1334
779,2001992+1334
780,2001991+2668
781,2001990+2668
782,2001989+2001
783,2001988+2001
784,2001987+2001
785,2001986+2001
786,2001985+2001
787,2001984+1334
788,2001983+2001
789,2001982+2001
790,2001981+4002
791,2001977+1960
792,2001974+648
793,2001971+4002
794,2001968+
795,2001965-1+
796,2001963+
797,2001962+
798,2001960+667
799,2001958+2001
800,2001957+2001
801,2001956+2001
802,2001955+2001
803,2001954+2001
804,2001953+2001
805,2001952+2001
806,2001951+2001
807,2001950+2001
808,2001949+2001
809,2001948+1334
810,2001947+3335
811,2001946+4669
812,2001945+4669
813,2001944+3335
814,2001943+2001
815,2001942+2001
816,2001941+2001
817,2001940+2668
818,2001939+2668
819,2001938+3335
820,2001937+2001
821,2001936+2668
822,2001918-1+11352
823,2001918-1+2835
824,2001918-1+108000
825,2001916+2001
826,2001915+4669
827,2001914+2001
828,2001913+2668
829,2001912+4002
830,2001911+3335
831,2001910+2001
832,2001909+2001
833,2001908+4669
834,2001907+3335
835,2001906+2001
836,2001905+2668
837,2001904+4002
838,2001903+3335
839,2001902+2001
840,2001901+260000
841,2001899+
842,2001898+3335
843,2001897+2001
844,2001896+2668
845,2001895+2001
846,2001894+2668
847,2001893+2668
848,2001892+2668
849,2001891+2001
850,2001890+5336
851,2001889+2001
852,2001888+
853,2001886+1334
854,2001885+4669
855,2001884+4669
856,2001882-1+1296
857,2001882-1+870
858,2001882-1+
859,2001879+2200
860,2001877+
861,2001871+
862,200187+667
863,2001867+
864,2001866+
865,2001865-1+2424
866,2001865-1+2125
867,2001865-1+
868,2001864+4002
869,2001863+4002
870,2001862+5336
